CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,TIME_DIFF,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,neighborhood,neighborhood_services_district,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,completion.time
1.01E+11,1/1/10 7:15,1/6/10 16:40,5:09:25,Closed,Case Closed Case Resolved done 1-6-10  ,Park Maintenace: Ronan Park,Property Management,Graffiti,Graffiti Removal,PARK_Park Maintenance Requests,PARK,115 Adams St  Dorchester  MA  02122,Dorchester,8,115 Adams St,2122,42.30487,-71.06158,Citizens Connect App,129.4166667
1.01E+11,1/1/10 7:16,1/6/10 16:39,5:09:23,Closed,Case Closed Case Resolved done 1-6-10 ,Park Maintenace: Ronan Park,Property Management,Graffiti,Graffiti Removal,PARK_Park Maintenance Requests,PARK,68 Percival St  Dorchester  MA  02122,Dorchester,8,68 Percival St,2122,42.30511,-71.06294,Citizens Connect App,129.3833333
1.01E+11,1/1/10 13:53,1/4/10 10:30,2:20:36,Closed,Case Closed Replaced by generic case 101000102579 ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO_Reallocation From Dept,INFO,238 South St  Jamaica Plain  MA  02130,Jamaica Plain,11,238 South St,2130,42.30206,-71.1142,Citizens Connect App,68.6
1.01E+11,1/1/10 16:10,1/7/10 12:07,5:19:56,Closed,Case Closed Case Resolved   THIS REQUEST HAS BEEN COMPLETED. ,Graffiti: Ward 8  0803  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,1900 Washington St  Roxbury  MA  02118,Roxbury,13,1900 Washington St,2118,42.33459,-71.0789,Constituent Call,139.9333333
1.01E+11,1/1/10 18:42,5/11/10 9:39,8:14:56,Closed,Case Closed Case Resolved   The graffiti is too high and we have no signed waiver. ,Graffiti: Ward 3  0306  Gang,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,1 City Hall Plz  Boston  MA  02108,Downtown / Financial District,3,1 City Hall Plz,2108,42.36042,-71.058274,Self Service,206.9333333
1.01E+11,1/4/10 10:45,1/7/10 12:09,3:01:24,Closed,Case Closed Case Resolved   THIS REQUEST HAS BEEN COMPLETED AND 105 & 107 WEST NEWTON STREET WERE DONE. ,Graffiti: Ward 9  0901  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,411 Shawmut Ave  Roxbury  MA  02118,South End,6,411 Shawmut Ave,2118,42.34041,-71.07389,Constituent Call,73.4
1.01E+11,1/4/10 10:49,1/22/10 10:33,17:23:43,Closed,Case Closed Case Resolved   THIS REQUEST HAS BEEN COMPLETED AND HAS BEEN DONE THREE TIMES IN THE PAST. ,Graffiti: Ward 13  1310  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,215 Sydney St  Dorchester  MA  02125,Dorchester,7,215 Sydney St,2125,42.31881,-71.05244,Constituent Call,431.7166667
1.01E+11,1/5/10 10:23,1/8/10 12:16,3:01:52,Closed,Case Closed Case Resolved   THIS REQUEST HAS BEEN COMPLETED AND HAS BEEN DONE IN THE PAST. ,Graffiti: Ward 4  0407  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,70 Fenway  Boston  MA  02115,Fenway / Kenmore / Audubon Circle / Longwood,14,70 Fenway,2115,42.34284,-71.090899,Constituent Call,73.86666667
1.01E+11,1/5/10 13:34,1/5/10 14:09,0:00:35,Closed,Case Closed Case Resolved   THIS REQUEST IS A DUPLICATE....REFER TO CN# 101000102889...THIS REQUEST IS ON OUR REMOVAL LIST. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,1128 Hyde Park Ave  Hyde Park  MA  02136,Hyde Park,10,1128 Hyde Park Ave,2136,42.26092,-71.12227,Citizens Connect App,0.583333333
1.01E+11,1/5/10 14:25,1/6/10 15:10,1:00:44,Closed,Case Closed Case Resolved   THIS REQUEST HAS BEEN COMPLETED. ALSO  72 GARDNER STREET & 47 ORKNEY STREET WERE DONE. THESE SITES HAVE BEEN DONE IN THE PAST. ,Graffiti: Ward 21  2104  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,47 Gardner St  Allston  MA  02134,Allston / Brighton,15,47 Gardner St,2134,42.35349,-71.12885,Constituent Call,24.73333333
